iter	Passed	Remaining
217	2176	7807
218	2182	7781
219	2185	7749
220	2188	7712
221	2190	7675
222	2193	7641
223	2200	7623
224	2202	7587
225	2205	7551
226	2207	7518
227	2213	7494
228	2217	7465
229	2241	7504
230	2245	7476
231	2248	7442
232	2250	7409
233	2253	7377
234	2260	7359
235	2264	7330
236	2266	7297
237	2269	7266
238	2271	7233
239	2273	7200
240	2276	7168
241	2314	7249
242	2316	7216
243	2324	7201
244	2326	7170
245	2329	7138
246	2331	7106
247	2347	7116
248	2353	7098
249	2357	7073
250	2359	7042
251	2362	7011
252	2364	6980
253	2380	6992
254	2389	6981
255	2391	6951
256	2394	6921
257	2396	6891
258	2404	6877
259	2406	6848
260	2408	6819
261	2410	6790
262	2412	6761
263	2422	6753
264	2424	6724
265	2426	6696
266	2502	6871
267	2505	6842
268	2507	6813
269	2509	6785
270	2517	6771
271	2519	6743
272	2521	6715
273	2524	6687
274	2526	6659
275	2534	6647
276	2536	6620
277	2539	6594
278	2591	6696
279	2596	6676
280	2600	6652
281	2602	6626
282	2604	6599
283	2607	6573
284	2615	6562
285	2617	6535
286	2620	6508
287	2622	6482
288	2630	6471
289	2632	6445
290	2666	6496
291	2668	6470
292	2670	6444
293	2679	6433
294	2681	6408
295	2683	6382
296	2685	6357
297	2693	6344
298	2695	6319
299	2697	6294
300	2699	6269
301	2701	6245
302	2709	6231
303	2748	6292
304	2750	6267
305	2753	6244
306	2762	6235
307	2765	6212
308	2768	6190
309	2784	6198
310	2795	6193
311	2798	6171
312	2800	6147
313	2810	6140
314	2812	6117
315	2827	6119
316	2829	6095
317	2831	6072
318	2833	6048
319	2841	6037
320	2843	6014
321	2845	5992
322	2848	5969
323	2856	5959
324	2858	5937
325	2860	5914
326	2863	5892
327	2865	5870
328	2867	5848
329	2869	5826
330	2871	5804
331	2878	5792
332	2881	5770
333	2883	5749
334	2885	5727
335	2887	5706
336	2890	5687
337	2899	5679
338	2903	5661
339	2906	5641
340	2982	5764
341	2985	5743
342	2987	5721
343	2996	5713
344	2998	5692
345	3001	5672
346	3003	5651
347	3008	5637
348	3012	5619
349	3014	5599
350	3017	5578
351	3026	5570
352	3047	5585
353	3049	5565
354	3058	5556
355	3060	5536
356	3062	5516
357	3064	5496
358	3067	5476
359	3072	5461
360	3074	5442
361	3076	5422
362	3078	5402
363	3082	5386
364	3133	5450
365	3141	5442
366	3144	5422
367	3146	5403
368	3148	5383
369	3156	5375
370	3160	5358
371	3162	5338
372	3164	5319
373	3172	5310
374	3175	5291
375	3177	5272
376	3179	5254
377	3274	5387
378	3276	5368
379	3278	5349
380	3287	5341
381	3290	5322
382	3292	5303
383	3307	5305
384	3309	5286
385	3311	5267
386	3319	5258
387	3322	5240
388	3324	5222
389	3326	5203
390	3376	5259
391	3384	5249
392	3387	5232
393	3390	5214
394	3393	5197
395	3408	5198
396	3416	5189
397	3419	5172
398	3421	5154
399	3423	5135
400	3426	5117
401	3471	5164
402	3473	5145
403	3475	5127
404	3478	5110
405	3481	5092
406	3483	5074
407	3485	5057
408	3492	5046
409	3495	5029
410	3497	5012
411	3501	4997
412	3503	4979
413	3505	4962
414	3539	4989
415	3541	4971
416	3543	4954
417	3545	4937
418	3552	4926
419	3555	4909
420	3557	4892
421	3560	4876
422	3567	4866
423	3569	4849
424	3572	4832
425	3574	4815
426	3576	4799
427	3622	4841
428	3625	4825
429	3633	4816
430	3635	4800
431	3638	4783
432	3640	4766
433	3642	4750
434	3649	4740
435	3651	4723
436	3654	4707
437	3656	4691
438	3658	4675
439	3660	4659
440	3680	4665
441	3682	4649
442	3685	4633
443	3728	4669
444	3730	4653
445	3732	4636
446	3738	4625
447	3741	4610
448	3743	4594
449	3746	4578
450	3749	4563
451	3756	4554
452	3796	4584
453	3799	4568
454	3807	4560
455	3809	4544
456	3811	4529
457	3814	4513
458	3880	4573
459	3887	4563
460	3890	4548
461	3892	4532
462	3894	4516
463	3896	4501
464	3905	4493
465	3907	4477
466	3909	4462
467	3911	4446
468	3919	4437
469	3921	4422
470	3923	4407
471	3937	4404
472	3939	4388
473	3941	4373
474	3943	4358
475	3951	4350
476	3953	4335
477	3956	4320
478	3958	4305
479	3960	4290
480	3971	4285
481	3973	4270
482	3982	4263
483	3984	4248
484	4003	4250
485	4005	4236
486	4007	4221
487	4015	4212
488	4017	4198
489	4019	4183
490	4021	4169
491	4023	4154
492	4030	4145
493	4032	4130
494	4035	4116
495	4037	4102
496	4039	4088
497	4055	4087
498	4063	4079
499	4065	4065
500	4067	4051
501	4069	4037
502	4075	4027
503	4078	4014
504	4081	4000
505	4083	3986
506	4085	3973
507	4094	3965
508	4097	3952
509	4153	3990
510	4161	3982
511	4164	3968
512	4166	3955
513	4168	3941
514	4175	3932
515	4177	3918
516	4180	3905
517	4182	3891
518	4184	3878
519	4191	3869
520	4193	3855
521	4196	3842
522	4210	3839
523	4212	3826
524	4214	3813
525	4216	3799
526	4222	3790
527	4225	3777
528	4228	3764
529	4230	3751
530	4238	3743
531	4241	3730
532	4243	3717
533	4245	3704
534	4265	3707
535	4267	3694
536	4270	3682
537	4273	3669
538	4275	3656
539	4283	3648
540	4285	3636
541	4287	3623
542	4290	3610
543	4297	3602
544	4300	3590
545	4302	3577
546	4305	3565
547	4330	3571
548	4365	3586
549	4367	3573
550	4369	3560
551	4372	3548
552	4380	3540
553	4382	3527
554	4384	3515
555	4386	3502
556	4388	3490
557	4396	3482
558	4398	3469
559	4420	3473
560	4428	3465
561	4431	3453
562	4433	3441
563	4435	3429
564	4443	3421
565	4450	3412
566	4458	3404
567	4460	3392
568	4463	3380
569	4465	3368
570	4467	3356
571	4495	3363
572	4497	3351
573	4499	3339
574	4506	3330
575	4508	3318
576	4510	3306
577	4512	3294
578	4515	3283
579	4523	3275
580	4525	3263
581	4528	3252
582	4530	3240
583	4536	3231
584	4573	3244
585	4576	3233
586	4578	3221
587	4580	3209
588	4587	3201
589	4589	3189
590	4592	3177
591	4594	3166
592	4596	3154
593	4598	3143
594	4600	3131
595	4603	3120
596	4605	3109
597	4682	3147
598	4685	3136
599	4687	3124
600	4689	3113
601	4696	3104
602	4698	3093
603	4700	3082
604	4702	3070
605	4705	3059
606	4713	3051
607	4715	3040
608	4718	3029
609	4720	3017
610	4780	3043
611	4782	3032
612	4785	3021
613	4792	3012
614	4795	3001
615	4797	2990
616	4799	2979
617	4802	2968
618	4810	2960
619	4812	2949
620	4815	2938
621	4817	2927
622	4825	2919
623	4841	2917
624	4843	2905
625	4845	2895
626	4848	2884
627	4850	2873
628	4857	2865
629	4859	2854
630	4862	2843
631	4864	2832
632	4866	2821
633	4869	2811
634	4871	2800
635	4873	2789
636	4939	2814
637	4941	2803
638	4943	2792
639	4952	2785
640	4954	2774
641	4956	2763
642	4958	2753
643	4966	2745
644	4968	2734
645	4970	2723
646	4972	2713
647	4975	2702
648	4981	2694
649	5021	2704
650	5023	2693
651	5030	2685
652	5034	2675
653	5038	2665
654	5040	2655
655	5043	2644
656	5045	2634
657	5054	2626
658	5056	2616
659	5058	2605
660	5060	2595
661	5090	2598
662	5092	2588
663	5100	2580
664	5102	2570
665	5104	2559
666	5106	2549
667	5110	2540
668	5118	2532
669	5120	2522
670	5122	2511
671	5129	2503
672	5132	2493
673	5134	2483
674	5184	2496
675	5186	2485
676	5189	2476
677	5198	2469
678	5200	2458
679	5202	2448
680	5205	2438
681	5211	2429
682	5214	2420
683	5216	2409
684	5218	2399
685	5220	2389
686	5250	2392
687	5252	2381
688	5268	2377
689	5276	2370
690	5278	2360
691	5281	2350
692	5283	2340
693	5285	2330
694	5293	2323
695	5296	2313
696	5298	2303
697	5300	2293
698	5307	2285
699	5341	2289
700	5343	2279
701	5345	2269
702	5347	2259
703	5349	2249
704	5357	2241
705	5359	2231
706	5361	2222
707	5363	2212
708	5366	2202
709	5374	2195
710	5379	2186
711	5381	2176
712	5442	2190
713	5445	2181
714	5447	2171
715	5455	2164
716	5458	2154
717	5460	2144
718	5462	2134
719	5470	2127
720	5472	2117
721	5474	2107
722	5476	2098
723	5478	2088
724	5486	2081
725	5496	2074
726	5498	2064
727	5500	2055
728	5502	2045
729	5505	2036
730	5529	2034
731	5531	2025
732	5533	2015
733	5535	2006
734	5537	1996
735	5544	1988
736	5546	1979
737	5549	1970
738	5562	1964
739	5564	1955
740	5566	1945
741	5568	1936
742	5593	1934
743	5595	1925
744	5597	1915
745	5599	1906
746	5601	1897
747	5608	1889
748	5611	1880
749	5613	1871
750	5615	1861
751	5625	1855
752	5627	1846
753	5630	1836
754	5680	1843
755	5682	1834
756	5689	1826
757	5691	1817
758	5694	1808
759	5696	1798
760	5699	1789
761	5724	1787
762	5726	1778
763	5728	1769
764	5782	1776
765	5790	1768
766	5793	1759
767	5795	1750
768	5807	1744
769	5809	1735
770	5812	1726
771	5820	1718
772	5823	1710
773	5825	1700
774	5827	1691
775	5834	1684
776	5878	1687
777	5886	1679
778	5888	1670
779	5890	1661
780	5892	1652
781	5894	1643
782	5902	1635
783	5905	1626
784	5907	1617
785	5909	1608
786	5917	1601
787	5919	1592
788	5921	1583
789	5970	1586
790	5972	1577
791	5974	1569
792	5981	1561
793	5983	1552
794	5985	1543
795	5987	1534
796	5990	1525
797	6015	1522
798	6017	1513
799	6019	1504
800	6022	1496
801	6028	1488
802	6116	1500
803	6165	1503
804	6168	1494
805	6170	1485
806	6177	1477
807	6179	1468
808	6182	1459
809	6184	1450
810	6186	1441
811	6195	1434
812	6198	1425
813	6200	1416
814	6202	1407
815	6220	1402
816	6223	1393
817	6225	1385
818	6227	1376
819	6229	1367
820	6238	1360
821	6240	1351
822	6242	1342
823	6244	1333
824	6248	1325
825	6251	1316
826	6253	1308
827	6257	1299
828	6316	1303
829	6319	1294
830	6321	1285
831	6323	1276
832	6325	1268
833	6333	1260
834	6335	1252
835	6338	1243
836	6341	1234
837	6349	1227
838	6351	1218
839	6353	1210
840	6356	1201
841	6382	1197
842	6386	1189
843	6388	1180
844	6390	1172
845	6415	1167
846	6418	1159
847	6420	1150
848	6422	1142
849	6430	1134
850	6432	1126
851	6434	1117
852	6437	1109
853	6445	1101
854	6462	1095
855	6464	1087
856	6466	1079
857	6468	1070
858	6471	1062
859	6478	1054
860	6480	1046
861	6483	1037
862	6485	1029
863	6492	1021
864	6494	1013
865	6496	1005
866	6499	996
867	6560	997
868	6562	989
869	6564	980
870	6567	972
871	6575	965
872	6577	956
873	6579	948
874	6582	940
875	6584	932
876	6592	924
877	6594	916
878	6610	909
879	6612	901
880	6614	893
881	6622	886
882	6625	877
883	6627	869
884	6629	861
885	6631	853
886	6640	845
887	6642	837
888	6644	829
889	6647	821
890	6654	814
891	6677	808
892	6679	800
893	6688	792
894	6690	784
895	6692	776
896	6695	768
897	6702	761
898	6705	753
899	6707	745
900	6709	737
901	6711	729
902	6720	721
903	6722	713
904	6736	707
905	6739	699
906	6741	691
907	6743	683
908	6752	676
909	6754	668
910	6757	660
911	6759	652
912	6766	644
913	6768	636
914	6771	629
915	6819	625
916	6821	617
917	6824	609
918	6834	602
919	6836	594
920	6838	586
921	6840	578
922	6843	570
923	6846	563
924	6848	555
925	6858	548
926	6861	540
927	6863	532
928	6928	529
929	6931	521
930	6937	514
931	6940	506
932	6942	498
933	6944	490
934	6947	482
935	6956	475
936	6958	467
937	6960	460
938	6964	452
939	6966	444
940	6985	437
941	6987	430
942	6989	422
943	7000	415
944	7003	407
945	7005	399
946	7014	392
947	7018	384
948	7032	377
949	7034	370
950	7037	362
951	7046	355
952	7103	350
953	7165	345
954	7168	337
955	7171	330
956	7178	322
957	7180	314
958	7182	307
959	7185	299
960	7187	291
961	7217	285
962	7220	277
963	7226	269
964	7229	262
965	7285	256
966	7293	248
967	7295	241
968	7297	233
969	7299	225
970	7309	218
971	7311	210
972	7313	202
973	7316	195
974	7324	187
975	7328	180
976	7331	172
977	7340	165
978	7347	157
979	7350	150
980	7352	142
981	7354	134
982	7361	127
983	7363	119
984	7366	112
985	7368	104
986	7370	97
987	7377	89
988	7381	82
989	7383	74
990	7466	67
991	7469	60
992	7471	52
993	7474	45
994	7477	37
995	7480	30
996	7487	22
997	7490	15
998	7492	7
999	7494	0
